symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,market_cap,date,stock_price,fmp_dcf_calc,margin_of_safety,% weight
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,0000011544,1967,17836410880,2022-05-04,67.26,72.80078571188916,0.08237861599597318,0.0004560207858574961
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,0001067983,1839,705395359744,2022-05-04,318.99,355.8608094868315,0.11558609826900997,0.01803473515242827
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,0000764478,1966,21293221888,2022-05-04,94.65,106.42697553148817,0.1244265771948036,0.0005444005435920861
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,0000012208,1952,15082300416,2022-05-04,500.93,516.5395159151194,0.031161072235880067,0.0003856068653338379
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,0000842023,1976,15064312832,2022-05-04,383.43,388.3478914606131,0.012826047676533076,0.000385146979527969
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,0000875045,1978,30268962816,2022-05-04,205.7,219.71983880967142,0.06815672731974443,0.0007738819375326954
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,0001364742,1988,95748210688,2022-05-04,631.06,739.6297288324581,0.17204343300551164,0.002447979841692841
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,0001390777,1784,34824171520,2022-05-04,43.11,179.05856775355906,3.153527435712342,0.0008903442609742479
BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,0000012927,1916,90863452160,2022-05-04,153.58,167.73114235500879,0.09214183067462411,0.002323091968361754
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,0001075531,1996,85881716736,2022-05-04,2105.93,2376.26527696793,0.12836859580704488,0.0021957247015797383
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,0000908255,1880,9152569344,2022-05-04,38.14,45.845162948438656,0.20202315019503553,0.00023400233897651206
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,0001037540,1970,19021096960,2022-05-04,121.38,124.27079043155085,0.023816035850641414,0.0004863094734657083
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24,0000885725,1979,59708125184,2022-05-04,41.77,43.1287915578457,0.03253032218926738,0.0015265484940704302
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,"New York City, New York",1957-03-04,0000014272,1989,159496273920,2022-05-04,75.05,81.24087688219663,0.0824900317414608,0.004077816813241122
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",2014-05-08,0001730168,1961,237280657408,2022-05-04,581.17,609.5219813519814,0.04878431672657124,0.006066518235533015
